1:0 = Stone =  Stone (#0001)
13354:6 = Scented Paneling =  Scented Paneling (#13354/6)
13356:0 = Apiarist's Hat =  Apiarist's Hat (#13356)
13357:0 = Apiarist's Shirt =  Apiarist's Shirt (#13357)
13358:0 = Apiarist's Pants =  Apiarist's Pants (#13358)
13359:0 = Apiarist's Shoes =  Apiarist's Shoes (#13359)
13360:0 = Honey Comb =  Honey Comb (#13360/0)
13360:2 = Simmering Comb =  Simmering Comb (#13360/2)
13360:3 = Stringy Comb =  Stringy Comb (#13360/3)
13360:4 = Frozen Comb =  Frozen Comb (#13360/4)
13360:5 = Dripping Comb =  Dripping Comb (#13360/5)
13360:6 = Silky Comb =  Silky Comb (#13360/6)
13360:7 = Parched Comb =  Parched Comb (#13360/7)
13360:15 = Mossy Comb =  Mossy Comb (#13360/15)
13360:16 = Mellow Comb =  Mellow Comb (#13360/16)
13361:0 = Habitat Locator =  Habitat Locator (#13361)
13362:0 = Builder's Backpack =  Builder's Backpack (#13362) 0/15 Slots
13363:0 = Woven Builder's Backpack =  Woven Builder's Backpack (#13363) 0/45 Slots
13364:0 = Infuser =  Infuser (#13364)
13366:0 = Imprinter =  Imprinter (#13366)
13367:0 = Pipette =  Pipette (#13367)
13368:0 = Basic Circuit Board =  Basic Circuit Board (#13368/0)
13368:1 = Enhanced Circuit Board =  Enhanced Circuit Board (#13368/1)
13368:2 = Refined Circuit Board =  Refined Circuit Board (#13368/2)
13368:3 = Intricate Circuit Board =  Intricate Circuit Board (#13368/3)
13369:0 = Soldering Iron =  Soldering Iron (#13369)
13370:0 = Copper Electron Tube =  Copper Electron Tube (#13370/0)
13370:1 = Tin Electron Tube =  Tin Electron Tube (#13370/1)
13370:2 = Bronze Electron Tube =  Bronze Electron Tube (#13370/2)
13370:3 = Iron Electron Tube =  Iron Electron Tube (#13370/3)
13370:4 = Golden Electron Tube =  Golden Electron Tube (#13370/4)
13370:5 = Diamantine Electron Tube =  Diamantine Electron Tube (#13370/5)
13370:6 = Obsidian Electron Tube =  Obsidian Electron Tube (#13370/6)
13370:7 = Blazing Electron Tube =  Blazing Electron Tube (#13370/7)
13370:8 = Rubberised Electron Tube =  Rubberised Electron Tube (#13370/8)
13370:9 = Emerald Electron Tube =  Emerald Electron Tube (#13370/9)
13370:10 = Apatine Electron Tube =  Apatine Electron Tube (#13370/10)
13370:11 = Lapis Electron Tube =  Lapis Electron Tube (#13370/11)
13372:0 = Stamp 1n =  Stamp 1n (#13372/0)
13372:1 = Stamp 2n =  Stamp 2n (#13372/1)
13372:2 = Stamp 5n =  Stamp 5n (#13372/2)
13372:3 = Stamp 10n =  Stamp 10n (#13372/3)
13372:4 = Stamp 20n =  Stamp 20n (#13372/4)
13372:5 = Stamp 50n =  Stamp 50n (#13372/5)
13372:6 = Stamp 100n =  Stamp 100n (#13372/6)
13373:0 = Letter =  Letter (#13373) <Blank>
13374:0 = Catalogue =  Catalogue (#13374)
13376:0 = Ice Can =  Ice Can (#13376)
13377:0 = Ice Capsule =  Ice Capsule (#13377)
13378:0 = Ice Capsule =  Ice Capsule (#13378)
13379:0 = Wax Cast =  Wax Cast (#13379)
13380:0 = Impregnated Casing =  Impregnated Casing (#13380)
13381:0 = Untreated Frame =  Untreated Frame (#13381)
13382:0 = Impregnated Frame =  Impregnated Frame (#13382)
13383:0 = Proven Frame =  Proven Frame (#13383)
13384:0 = Silver Lime Sapling =  Silver Lime Sapling (#13384/0) <Unknown genome>
13384:0 = Hill Cherry Sapling =  Hill Cherry Sapling (#13384/0) <Unknown genome>
13384:0 = Sweet Chestnut Sapling =  Sweet Chestnut Sapling (#13384/0) <Unknown genome>
13384:0 = Common Walnut Sapling =  Common Walnut Sapling (#13384/0) <Unknown genome>
13384:0 = Mundane Larch Sapling =  Mundane Larch Sapling (#13384/0) <Unknown genome>
13384:0 = Bull Pine Sapling =  Bull Pine Sapling (#13384/0) <Unknown genome>
13384:0 = Coast Sequoia Sapling =  Coast Sequoia Sapling (#13384/0) <Unknown genome>
13384:0 = Giant Sequoia Sapling =  Giant Sequoia Sapling (#13384/0) <Unknown genome>
13384:0 = Balsa Sapling =  Balsa Sapling (#13384/0) <Unknown genome>
13384:0 = Desert Acacia Sapling =  Desert Acacia Sapling (#13384/0) <Unknown genome>
13384:0 = Wenge Sapling =  Wenge Sapling (#13384/0) <Unknown genome>
13384:0 = Grandidier's Baobab Sapling =  Grandidier's Baobab Sapling (#13384/0) <Unknown genome>
13384:0 = Teak Sapling =  Teak Sapling (#13384/0) <Unknown genome>
13384:0 = Kapok Sapling =  Kapok Sapling (#13384/0) <Unknown genome>
13384:0 = Myrtle Ebony Sapling =  Myrtle Ebony Sapling (#13384/0) <Unknown genome>
13384:0 = Yellow Meranti Sapling =  Yellow Meranti Sapling (#13384/0) <Unknown genome>
13384:0 = White Willow Sapling =  White Willow Sapling (#13384/0) <Unknown genome>
13384:0 = Sipiri Sapling =  Sipiri Sapling (#13384/0) <Unknown genome>
13384:0 = Blue Mahoe Sapling =  Blue Mahoe Sapling (#13384/0) <Unknown genome>
13384:0 = White Poplar Sapling =  White Poplar Sapling (#13384/0) <Unknown genome>
13384:0 = Lemon Sapling =  Lemon Sapling (#13384/0) <Unknown genome>
13384:0 = Plum Sapling =  Plum Sapling (#13384/0) <Unknown genome>
13384:0 = Sugar Maple Sapling =  Sugar Maple Sapling (#13384/0) <Unknown genome>
13384:0 = Papaya Sapling =  Papaya Sapling (#13384/0) <Unknown genome>
13384:0 = Date Palm Sapling =  Date Palm Sapling (#13384/0) <Unknown genome>
13384:0 = Orchard Apple Sapling =  Orchard Apple Sapling (#13384/0) <Unknown genome>
13384:0 = Sweet Crabapple Sapling =  Sweet Crabapple Sapling (#13384/0) <Unknown genome>
13384:0 = Flowering Crabapple Sapling =  Flowering Crabapple Sapling (#13384/0) <Unknown genome>
13384:0 = Praire Crabapple Sapling =  Praire Crabapple Sapling (#13384/0) <Unknown genome>
13384:0 = Blackthorn Sapling =  Blackthorn Sapling (#13384/0) <Unknown genome>
13384:0 = Cherry Plum Sapling =  Cherry Plum Sapling (#13384/0) <Unknown genome>
13384:0 = Peach Sapling =  Peach Sapling (#13384/0) <Unknown genome>
13384:0 = Nectarine Sapling =  Nectarine Sapling (#13384/0) <Unknown genome>
13384:0 = Apricot Sapling =  Apricot Sapling (#13384/0) <Unknown genome>
13384:0 = Almond Sapling =  Almond Sapling (#13384/0) <Unknown genome>
13384:0 = Wild Cherry Sapling =  Wild Cherry Sapling (#13384/0) <Unknown genome>
13384:0 = Sour Cherry Sapling =  Sour Cherry Sapling (#13384/0) <Unknown genome>
13384:0 = Black Cherry Sapling =  Black Cherry Sapling (#13384/0) <Unknown genome>
13384:0 = Orange Sapling =  Orange Sapling (#13384/0) <Unknown genome>
13384:0 = Manderine Sapling =  Manderine Sapling (#13384/0) <Unknown genome>
13384:0 = Satsuma Sapling =  Satsuma Sapling (#13384/0) <Unknown genome>
13384:0 = Tangerine Sapling =  Tangerine Sapling (#13384/0) <Unknown genome>
13384:0 = Lime Sapling =  Lime Sapling (#13384/0) <Unknown genome>
13384:0 = Key Lime Sapling =  Key Lime Sapling (#13384/0) <Unknown genome>
13384:0 = Finger Lime Sapling =  Finger Lime Sapling (#13384/0) <Unknown genome>
13384:0 = Pomelo Sapling =  Pomelo Sapling (#13384/0) <Unknown genome>
13384:0 = Grapefruit Sapling =  Grapefruit Sapling (#13384/0) <Unknown genome>
13384:0 = Kumquat Sapling =  Kumquat Sapling (#13384/0) <Unknown genome>
13384:0 = Citron Sapling =  Citron Sapling (#13384/0) <Unknown genome>
13384:0 = Buddha's Hand Sapling =  Buddha's Hand Sapling (#13384/0) <Unknown genome>
13384:0 = Banana Sapling =  Banana Sapling (#13384/0) <Unknown genome>
13384:0 = Red Banana Sapling =  Red Banana Sapling (#13384/0) <Unknown genome>
13384:0 = Plantain Sapling =  Plantain Sapling (#13384/0) <Unknown genome>
13384:0 = Butternut Sapling =  Butternut Sapling (#13384/0) <Unknown genome>
13384:0 = Common Rowan Sapling =  Common Rowan Sapling (#13384/0) <Unknown genome>
13384:0 = Western Hemlock Sapling =  Western Hemlock Sapling (#13384/0) <Unknown genome>
13384:0 = Common Ash Sapling =  Common Ash Sapling (#13384/0) <Unknown genome>
13384:0 = Common Alder Sapling =  Common Alder Sapling (#13384/0) <Unknown genome>
13384:0 = Common Beech Sapling =  Common Beech Sapling (#13384/0) <Unknown genome>
13384:0 = Copper Beech Sapling =  Copper Beech Sapling (#13384/0) <Unknown genome>
13384:0 = Aspen Sapling =  Aspen Sapling (#13384/0) <Unknown genome>
13384:0 = Common Yew Sapling =  Common Yew Sapling (#13384/0) <Unknown genome>
13384:0 = Lawson Cypress Sapling =  Lawson Cypress Sapling (#13384/0) <Unknown genome>
13384:0 = Douglas-fir Sapling =  Douglas-fir Sapling (#13384/0) <Unknown genome>
13384:0 = Common Hazel Sapling =  Common Hazel Sapling (#13384/0) <Unknown genome>
13384:0 = Sycamore Fig Sapling =  Sycamore Fig Sapling (#13384/0) <Unknown genome>
13384:0 = Whitebeam Sapling =  Whitebeam Sapling (#13384/0) <Unknown genome>
13384:0 = Common Hawthorn Sapling =  Common Hawthorn Sapling (#13384/0) <Unknown genome>
13384:0 = Pecan Sapling =  Pecan Sapling (#13384/0) <Unknown genome>
13384:0 = Common Elm Sapling =  Common Elm Sapling (#13384/0) <Unknown genome>
13384:0 = Elderberry Sapling =  Elderberry Sapling (#13384/0) <Unknown genome>
13384:0 = Common Holly Sapling =  Common Holly Sapling (#13384/0) <Unknown genome>
13384:0 = Common Hornbeam Sapling =  Common Hornbeam Sapling (#13384/0) <Unknown genome>
13384:0 = Great Sallow Sapling =  Great Sallow Sapling (#13384/0) <Unknown genome>
13384:0 = Acorn Oak Sapling =  Acorn Oak Sapling (#13384/0) <Unknown genome>
13384:0 = Silver Fir Sapling =  Silver Fir Sapling (#13384/0) <Unknown genome>
13384:0 = Great Cedar Sapling =  Great Cedar Sapling (#13384/0) <Unknown genome>
13384:0 = Olive Sapling =  Olive Sapling (#13384/0) <Unknown genome>
13384:0 = Red Maple Sapling =  Red Maple Sapling (#13384/0) <Unknown genome>
13384:0 = Balsam Fir Sapling =  Balsam Fir Sapling (#13384/0) <Unknown genome>
13384:0 = Loblolly Pine Sapling =  Loblolly Pine Sapling (#13384/0) <Unknown genome>
13384:0 = Sweetgum Sapling =  Sweetgum Sapling (#13384/0) <Unknown genome>
13384:0 = Black Locust Sapling =  Black Locust Sapling (#13384/0) <Unknown genome>
13384:0 = Cultivated Pear Sapling =  Cultivated Pear Sapling (#13384/0) <Unknown genome>
13384:0 = Osange-Osange Sapling =  Osange-Osange Sapling (#13384/0) <Unknown genome>
13384:0 = Old Fustic Sapling =  Old Fustic Sapling (#13384/0) <Unknown genome>
13384:0 = Brazilwood Sapling =  Brazilwood Sapling (#13384/0) <Unknown genome>
13384:0 = Logwood Sapling =  Logwood Sapling (#13384/0) <Unknown genome>
13384:0 = Rosewood Sapling =  Rosewood Sapling (#13384/0) <Unknown genome>
13384:0 = Purpleheart Sapling =  Purpleheart Sapling (#13384/0) <Unknown genome>
13384:0 = Iroko Sapling =  Iroko Sapling (#13384/0) <Unknown genome>
13384:0 = Ginkgo Sapling =  Ginkgo Sapling (#13384/0) <Unknown genome>
13384:0 = Brazil Nut Sapling =  Brazil Nut Sapling (#13384/0) <Unknown genome>
13384:0 = Rose Gum Sapling =  Rose Gum Sapling (#13384/0) <Unknown genome>
13384:0 = Swamp Gum Sapling =  Swamp Gum Sapling (#13384/0) <Unknown genome>
13384:0 = Boxwood Sapling =  Boxwood Sapling (#13384/0) <Unknown genome>
13384:0 = Clove Sapling =  Clove Sapling (#13384/0) <Unknown genome>
13384:0 = Coffee Sapling =  Coffee Sapling (#13384/0) <Unknown genome>
13384:0 = Monkey Puzzle Sapling =  Monkey Puzzle Sapling (#13384/0) <Unknown genome>
13384:0 = Rainbow Gum Sapling =  Rainbow Gum Sapling (#13384/0) <Unknown genome>
13385:0 = Treealyzer =  Treealyzer (#13385)
13386:0 = Cherry =  Cherry (#13386/0)
13386:1 = Walnut =  Walnut (#13386/1)
13386:2 = Chestnut =  Chestnut (#13386/2)
13386:3 = Lemon =  Lemon (#13386/3)
13386:4 = Plum =  Plum (#13386/4)
13386:5 = Date =  Date (#13386/5)
13386:6 = Papaya =  Papaya (#13386/6)
13387:0 = Grafter =  Grafter (#13387)
13388:0 = Proven Grafter =  Proven Grafter (#13388)
13389:0 = Silver Lime Pollen =  Silver Lime Pollen (#13389/0) <Unknown genome>
13389:0 = Hill Cherry Pollen =  Hill Cherry Pollen (#13389/0) <Unknown genome>
13389:0 = Sweet Chestnut Pollen =  Sweet Chestnut Pollen (#13389/0) <Unknown genome>
13389:0 = Common Walnut Pollen =  Common Walnut Pollen (#13389/0) <Unknown genome>
13389:0 = Mundane Larch Pollen =  Mundane Larch Pollen (#13389/0) <Unknown genome>
13389:0 = Bull Pine Pollen =  Bull Pine Pollen (#13389/0) <Unknown genome>
13389:0 = Coast Sequoia Pollen =  Coast Sequoia Pollen (#13389/0) <Unknown genome>
13389:0 = Giant Sequoia Pollen =  Giant Sequoia Pollen (#13389/0) <Unknown genome>
13389:0 = Balsa Pollen =  Balsa Pollen (#13389/0) <Unknown genome>
13389:0 = Desert Acacia Pollen =  Desert Acacia Pollen (#13389/0) <Unknown genome>
13389:0 = Wenge Pollen =  Wenge Pollen (#13389/0) <Unknown genome>
13389:0 = Grandidier's Baobab Pollen =  Grandidier's Baobab Pollen (#13389/0) <Unknown genome>
13389:0 = Teak Pollen =  Teak Pollen (#13389/0) <Unknown genome>
13389:0 = Kapok Pollen =  Kapok Pollen (#13389/0) <Unknown genome>
13389:0 = Myrtle Ebony Pollen =  Myrtle Ebony Pollen (#13389/0) <Unknown genome>
13389:0 = Yellow Meranti Pollen =  Yellow Meranti Pollen (#13389/0) <Unknown genome>
13389:0 = White Willow Pollen =  White Willow Pollen (#13389/0) <Unknown genome>
13389:0 = Sipiri Pollen =  Sipiri Pollen (#13389/0) <Unknown genome>
13389:0 = Blue Mahoe Pollen =  Blue Mahoe Pollen (#13389/0) <Unknown genome>
13389:0 = White Poplar Pollen =  White Poplar Pollen (#13389/0) <Unknown genome>
13389:0 = Lemon Pollen =  Lemon Pollen (#13389/0) <Unknown genome>
13389:0 = Plum Pollen =  Plum Pollen (#13389/0) <Unknown genome>
13389:0 = Sugar Maple Pollen =  Sugar Maple Pollen (#13389/0) <Unknown genome>
13389:0 = Papaya Pollen =  Papaya Pollen (#13389/0) <Unknown genome>
13389:0 = Date Palm Pollen =  Date Palm Pollen (#13389/0) <Unknown genome>
13389:0 = Orchard Apple Pollen =  Orchard Apple Pollen (#13389/0) <Unknown genome>
13389:0 = Sweet Crabapple Pollen =  Sweet Crabapple Pollen (#13389/0) <Unknown genome>
13389:0 = Flowering Crabapple Pollen =  Flowering Crabapple Pollen (#13389/0) <Unknown genome>
13389:0 = Praire Crabapple Pollen =  Praire Crabapple Pollen (#13389/0) <Unknown genome>
13389:0 = Blackthorn Pollen =  Blackthorn Pollen (#13389/0) <Unknown genome>
13389:0 = Cherry Plum Pollen =  Cherry Plum Pollen (#13389/0) <Unknown genome>
13389:0 = Peach Pollen =  Peach Pollen (#13389/0) <Unknown genome>
13389:0 = Nectarine Pollen =  Nectarine Pollen (#13389/0) <Unknown genome>
13389:0 = Apricot Pollen =  Apricot Pollen (#13389/0) <Unknown genome>
13389:0 = Almond Pollen =  Almond Pollen (#13389/0) <Unknown genome>
13389:0 = Wild Cherry Pollen =  Wild Cherry Pollen (#13389/0) <Unknown genome>
13389:0 = Sour Cherry Pollen =  Sour Cherry Pollen (#13389/0) <Unknown genome>
13389:0 = Black Cherry Pollen =  Black Cherry Pollen (#13389/0) <Unknown genome>
13389:0 = Orange Pollen =  Orange Pollen (#13389/0) <Unknown genome>
13389:0 = Manderine Pollen =  Manderine Pollen (#13389/0) <Unknown genome>
13389:0 = Satsuma Pollen =  Satsuma Pollen (#13389/0) <Unknown genome>
13389:0 = Tangerine Pollen =  Tangerine Pollen (#13389/0) <Unknown genome>
13389:0 = Lime Pollen =  Lime Pollen (#13389/0) <Unknown genome>
13389:0 = Key Lime Pollen =  Key Lime Pollen (#13389/0) <Unknown genome>
13389:0 = Finger Lime Pollen =  Finger Lime Pollen (#13389/0) <Unknown genome>
13389:0 = Pomelo Pollen =  Pomelo Pollen (#13389/0) <Unknown genome>
13389:0 = Grapefruit Pollen =  Grapefruit Pollen (#13389/0) <Unknown genome>
13389:0 = Kumquat Pollen =  Kumquat Pollen (#13389/0) <Unknown genome>
13389:0 = Citron Pollen =  Citron Pollen (#13389/0) <Unknown genome>
13389:0 = Buddha's Hand Pollen =  Buddha's Hand Pollen (#13389/0) <Unknown genome>
13389:0 = Banana Pollen =  Banana Pollen (#13389/0) <Unknown genome>
13389:0 = Red Banana Pollen =  Red Banana Pollen (#13389/0) <Unknown genome>
13389:0 = Plantain Pollen =  Plantain Pollen (#13389/0) <Unknown genome>
13389:0 = Butternut Pollen =  Butternut Pollen (#13389/0) <Unknown genome>
13389:0 = Common Rowan Pollen =  Common Rowan Pollen (#13389/0) <Unknown genome>
13389:0 = Western Hemlock Pollen =  Western Hemlock Pollen (#13389/0) <Unknown genome>
13389:0 = Common Ash Pollen =  Common Ash Pollen (#13389/0) <Unknown genome>
13389:0 = Common Alder Pollen =  Common Alder Pollen (#13389/0) <Unknown genome>
13389:0 = Common Beech Pollen =  Common Beech Pollen (#13389/0) <Unknown genome>
13389:0 = Copper Beech Pollen =  Copper Beech Pollen (#13389/0) <Unknown genome>
13389:0 = Aspen Pollen =  Aspen Pollen (#13389/0) <Unknown genome>
13389:0 = Common Yew Pollen =  Common Yew Pollen (#13389/0) <Unknown genome>
13389:0 = Lawson Cypress Pollen =  Lawson Cypress Pollen (#13389/0) <Unknown genome>
13389:0 = Douglas-fir Pollen =  Douglas-fir Pollen (#13389/0) <Unknown genome>
13389:0 = Common Hazel Pollen =  Common Hazel Pollen (#13389/0) <Unknown genome>
13389:0 = Sycamore Fig Pollen =  Sycamore Fig Pollen (#13389/0) <Unknown genome>
13389:0 = Whitebeam Pollen =  Whitebeam Pollen (#13389/0) <Unknown genome>
13389:0 = Common Hawthorn Pollen =  Common Hawthorn Pollen (#13389/0) <Unknown genome>
13389:0 = Pecan Pollen =  Pecan Pollen (#13389/0) <Unknown genome>
13389:0 = Common Elm Pollen =  Common Elm Pollen (#13389/0) <Unknown genome>
13389:0 = Elderberry Pollen =  Elderberry Pollen (#13389/0) <Unknown genome>
13389:0 = Common Holly Pollen =  Common Holly Pollen (#13389/0) <Unknown genome>
13389:0 = Common Hornbeam Pollen =  Common Hornbeam Pollen (#13389/0) <Unknown genome>
13389:0 = Great Sallow Pollen =  Great Sallow Pollen (#13389/0) <Unknown genome>
13389:0 = Acorn Oak Pollen =  Acorn Oak Pollen (#13389/0) <Unknown genome>
13389:0 = Silver Fir Pollen =  Silver Fir Pollen (#13389/0) <Unknown genome>
13389:0 = Great Cedar Pollen =  Great Cedar Pollen (#13389/0) <Unknown genome>
13389:0 = Olive Pollen =  Olive Pollen (#13389/0) <Unknown genome>
13389:0 = Red Maple Pollen =  Red Maple Pollen (#13389/0) <Unknown genome>
13389:0 = Balsam Fir Pollen =  Balsam Fir Pollen (#13389/0) <Unknown genome>
13389:0 = Loblolly Pine Pollen =  Loblolly Pine Pollen (#13389/0) <Unknown genome>
13389:0 = Sweetgum Pollen =  Sweetgum Pollen (#13389/0) <Unknown genome>
13389:0 = Black Locust Pollen =  Black Locust Pollen (#13389/0) <Unknown genome>
13389:0 = Cultivated Pear Pollen =  Cultivated Pear Pollen (#13389/0) <Unknown genome>
13389:0 = Osange-Osange Pollen =  Osange-Osange Pollen (#13389/0) <Unknown genome>
13389:0 = Old Fustic Pollen =  Old Fustic Pollen (#13389/0) <Unknown genome>
13389:0 = Brazilwood Pollen =  Brazilwood Pollen (#13389/0) <Unknown genome>
13389:0 = Logwood Pollen =  Logwood Pollen (#13389/0) <Unknown genome>
13389:0 = Rosewood Pollen =  Rosewood Pollen (#13389/0) <Unknown genome>
13389:0 = Purpleheart Pollen =  Purpleheart Pollen (#13389/0) <Unknown genome>
13389:0 = Iroko Pollen =  Iroko Pollen (#13389/0) <Unknown genome>
13389:0 = Ginkgo Pollen =  Ginkgo Pollen (#13389/0) <Unknown genome>
13389:0 = Brazil Nut Pollen =  Brazil Nut Pollen (#13389/0) <Unknown genome>
13389:0 = Rose Gum Pollen =  Rose Gum Pollen (#13389/0) <Unknown genome>
13389:0 = Swamp Gum Pollen =  Swamp Gum Pollen (#13389/0) <Unknown genome>
13389:0 = Boxwood Pollen =  Boxwood Pollen (#13389/0) <Unknown genome>
13389:0 = Clove Pollen =  Clove Pollen (#13389/0) <Unknown genome>
13389:0 = Coffee Pollen =  Coffee Pollen (#13389/0) <Unknown genome>
13389:0 = Monkey Puzzle Pollen =  Monkey Puzzle Pollen (#13389/0) <Unknown genome>
13389:0 = Rainbow Gum Pollen =  Rainbow Gum Pollen (#13389/0) <Unknown genome>
13390:0 = Forest Larvae =  Forest Larvae (#13390/0) <Unknown genome>
13390:0 = Meadows Larvae =  Meadows Larvae (#13390/0) <Unknown genome>
13390:0 = Modest Larvae =  Modest Larvae (#13390/0) <Unknown genome>
13390:0 = Tropical Larvae =  Tropical Larvae (#13390/0) <Unknown genome>
13390:0 = Wintry Larvae =  Wintry Larvae (#13390/0) <Unknown genome>
13390:0 = Marshy Larvae =  Marshy Larvae (#13390/0) <Unknown genome>
13390:0 = Rocky Larvae =  Rocky Larvae (#13390/0) <Unknown genome>
13390:0 = Water Larvae =  Water Larvae (#13390/0) <Unknown genome>
13390:0 = Mystical Larvae =  Mystical Larvae (#13390/0) <Unknown genome>
13390:0 = Sorcerous Larvae =  Sorcerous Larvae (#13390/0) <Unknown genome>
13390:0 = Unusual Larvae =  Unusual Larvae (#13390/0) <Unknown genome>
13390:0 = Attuned Larvae =  Attuned Larvae (#13390/0) <Unknown genome>
13391:0 = Brimstone =  Brimstone (#13391/0) <Unknown genome>
13391:0 = Cabbage White =  Cabbage White (#13391/0) <Unknown genome>
13391:0 = Citrus Swallowtail =  Citrus Swallowtail (#13391/0) <Unknown genome>
13391:0 = Black Swallowtail =  Black Swallowtail (#13391/0) <Unknown genome>
13391:0 = Speckled Wood =  Speckled Wood (#13391/0) <Unknown genome>
13391:0 = Brimstone =  Brimstone (#13391/0) <Unknown genome>
13391:0 = White Admiral =  White Admiral (#13391/0) <Unknown genome>
13391:0 = Purple Emperor =  Purple Emperor (#13391/0) <Unknown genome>
13391:0 = Red Admiral =  Red Admiral (#13391/0) <Unknown genome>
13391:0 = Painted Lady =  Painted Lady (#13391/0) <Unknown genome>
13391:0 = Small Tortoiseshell =  Small Tortoiseshell (#13391/0) <Unknown genome>
13391:0 = Camberwell Beauty =  Camberwell Beauty (#13391/0) <Unknown genome>
13391:0 = Peacock =  Peacock (#13391/0) <Unknown genome>
13391:0 = Wall =  Wall (#13391/0) <Unknown genome>
13391:0 = Crimson Rose =  Crimson Rose (#13391/0) <Unknown genome>
13391:0 = Kaiser-i-Hind =  Kaiser-i-Hind (#13391/0) <Unknown genome>
13391:0 = Golden Birdwing =  Golden Birdwing (#13391/0) <Unknown genome>
13391:0 = Marsh Fritillary =  Marsh Fritillary (#13391/0) <Unknown genome>
13391:0 = Pearl-bordered Fritillary =  Pearl-bordered Fritillary (#13391/0) <Unknown genome>
13391:0 = Queen of Spain Fritillary =  Queen of Spain Fritillary (#13391/0) <Unknown genome>
13391:0 = Speckled Wood =  Speckled Wood (#13391/0) <Unknown genome>
13391:0 = Scotch Angus =  Scotch Angus (#13391/0) <Unknown genome>
13391:0 = Gatekeeper =  Gatekeeper (#13391/0) <Unknown genome>
13392:0 = Spectacles =  Spectacles (#13392)
13446:0 = Gravity Gun =  Gravity Gun (#13446/0)
13446:1 = Gravity Gun =  Gravity Gun (#13446/1) Supercharged
13457:0 = Portal Gun =  Portal Gun (#13457/0) Default Portal Gun
13457:1 = Portal Gun =  Portal Gun (#13457/1) Atlas' Portal Gun
13457:2 = Portal Gun =  Portal Gun (#13457/2) P-Body's Portal Gun
13457:3 = Portal Gun =  Portal Gun (#13457/3) Bacon Gun
13457:4 = Portal Gun =  Portal Gun (#13457/4) Potato Gun
13459:0 = Portal Spawner =  Portal Spawner (#13459/0) Close w/o redstone: No Type: Default Portal Gun Type: 1
13460:0 = Long Fall Boot =  Long Fall Boot (#13460)
13461:0 = Long Fall Boots =  Long Fall Boots (#13461/0)
13462:0 = Weighted Storage Cube =  Weighted Storage Cube (#13462/0)
13462:1 = Weighted Companion Cube =  Weighted Companion Cube (#13462/1)
13462:2 = Weighted Storage Cube Vent =  Weighted Storage Cube Vent (#13462/2)
13462:3 = Weighted Companion Cube Vent =  Weighted Companion Cube Vent (#13462/3)
13462:11 = Radio =  Radio (#13462/11)
13462:14 = Material Emancipation Grill (Unfinished! Do not use!) =  Material Emancipation Grill (Unfinished! Do not use!) (#13462/14)
13462:4 = High Energy Pellet Launcher =  High Energy Pellet Launcher (#13462/4)
13462:5 = High Energy Pellet Catcher =  High Energy Pellet Catcher (#13462/5)
13462:13 = Electronic Intelligence Indicator =  Electronic Intelligence Indicator (#13462/13)
13463:0 = Sentry Turret =  Sentry Turret (#13463/0)
13463:1 = Oracle Turret =  Oracle Turret (#13463/1) "I'm different!"
13463:2 = Defective Turret =  Defective Turret (#13463/2)
13464:0 = Portal Gun Pedestal =  Portal Gun Pedestal (#13464/0)
13465:0 = Aerial Faith Plate =  Aerial Faith Plate (#13465/0)
13466:0 = Ender Pearl Dust =  Ender Pearl Dust (#13466/0)
13467:0 = PotatOS =  PotatOS (#13467)
13468:0 = Miniature Black Hole =  Miniature Black Hole (#13468)
13657:0 = Music Disc =  Music Disc (#13657) Valve - Still Alive Written by Jonathan Coulton Performed by Ellen McLain
13658:0 = Music Disc =  Music Disc (#13658) Valve - Radio Loop
13659:0 = Music Disc =  Music Disc (#13659) Valve - Want You Gone Written by Jonathan Coulton Performed by Ellen McLain
14243:0 = Steel Dust =  Steel Dust (#14243)
14256:0 = Apiarist's Pipe =  Apiarist's Pipe (#14256)
14274:0 = Materials and You =  Materials and You (#14274/0) Â§oBy: Skyla
14274:1 = Materials and You =  Materials and You (#14274/1) Â§oBy: Skyla
14274:2 = Mighty Smelting =  Mighty Smelting (#14274/2) Â§oBy: Thruul M'gon
14275:0 = Blank Pattern =  Blank Pattern (#14275/0)
14275:1 = Blank Cast =  Blank Cast (#14275/1)
14275:2 = Blank Cast =  Blank Cast (#14275/2)
14276:0 = Paper Stack =  Paper Stack (#14276/0)
14276:1 = Slime Crystal =  Slime Crystal (#14276/1)
14276:2 = Seared Brick =  Seared Brick (#14276/2)
14276:3 = Cobalt Ingot =  Cobalt Ingot (#14276/3)
14276:4 = Ardite Ingot =  Ardite Ingot (#14276/4)
14276:5 = Manyullyn Ingot =  Manyullyn Ingot (#14276/5)
14276:6 = Ball of Moss =  Ball of Moss (#14276/6)
14276:7 = Lava Crystal =  Lava Crystal (#14276/7)
14276:8 = Necrotic Bone =  Necrotic Bone (#14276/8)
14276:9 = Copper Ingot =  Copper Ingot (#14276/9)
14276:10 = Tin Ingot =  Tin Ingot (#14276/10)
14276:11 = Aluminum Ingot =  Aluminum Ingot (#14276/11)
14276:12 = Raw Aluminum =  Raw Aluminum (#14276/12)
14276:13 = Bronze Ingot =  Bronze Ingot (#14276/13)
14276:14 = Aluminum Brass Ingot =  Aluminum Brass Ingot (#14276/14)
14276:15 = Alumite Ingot =  Alumite Ingot (#14276/15)
14276:16 = Steel Ingot =  Steel Ingot (#14276/16)
